,country_code,year,HDI_value
0,AFG,1990,0.302
1,AFG,1991,0.307
2,AFG,1992,0.316
3,AFG,1993,0.312
4,AFG,1994,0.307
5,AFG,1995,0.331
6,AFG,1996,0.335
7,AFG,1997,0.339
8,AFG,1998,0.344
9,AFG,1999,0.348
10,AFG,2000,0.35
11,AFG,2001,0.353
12,AFG,2002,0.384
13,AFG,2003,0.393
14,AFG,2004,0.409
15,AFG,2005,0.418
16,AFG,2006,0.429
17,AFG,2007,0.447
18,AFG,2008,0.447
19,AFG,2009,0.46
20,AFG,2010,0.472
21,AFG,2011,0.477
22,AFG,2012,0.489
23,AFG,2013,0.496
24,AFG,2014,0.5
25,AFG,2015,0.5
26,AFG,2016,0.502
27,AFG,2017,0.506
28,AFG,2018,0.509
29,AFG,2019,0.511
30,AGO,1999,0.391
31,AGO,2000,0.4
32,AGO,2001,0.41
33,AGO,2002,0.426
34,AGO,2003,0.435
35,AGO,2004,0.446
36,AGO,2005,0.46
37,AGO,2006,0.473
38,AGO,2007,0.489
39,AGO,2008,0.501
40,AGO,2009,0.515
41,AGO,2010,0.517
42,AGO,2011,0.533
43,AGO,2012,0.544
44,AGO,2013,0.555
45,AGO,2014,0.565
46,AGO,2015,0.572
47,AGO,2016,0.578
48,AGO,2017,0.582
49,AGO,2018,0.582
50,AGO,2019,0.581
51,ALB,1990,0.65
52,ALB,1991,0.631
53,ALB,1992,0.615
54,ALB,1993,0.618
55,ALB,1994,0.624
56,ALB,1995,0.637
57,ALB,1996,0.646
58,ALB,1997,0.645
59,ALB,1998,0.655
60,ALB,1999,0.665
61,ALB,2000,0.671
62,ALB,2001,0.678
63,ALB,2002,0.684
64,ALB,2003,0.691
65,ALB,2004,0.696
66,ALB,2005,0.706
67,ALB,2006,0.713
68,ALB,2007,0.722
69,ALB,2008,0.728
70,ALB,2009,0.733
71,ALB,2010,0.745
72,ALB,2011,0.764
73,ALB,2012,0.775
74,ALB,2013,0.782
75,ALB,2014,0.787
76,ALB,2015,0.788
77,ALB,2016,0.788
78,ALB,2017,0.79
79,ALB,2018,0.792
80,ALB,2019,0.795
81,AND,2000,0.813
82,AND,2001,0.815
83,AND,2002,0.82
84,AND,2003,0.827
85,AND,2004,0.833
86,AND,2005,0.827
87,AND,2006,0.837
88,AND,2007,0.837
89,AND,2008,0.84
90,AND,2009,0.839
91,AND,2010,0.837
92,AND,2011,0.836
93,AND,2012,0.858
94,AND,2013,0.856
95,AND,2014,0.863
96,AND,2015,0.862
97,AND,2016,0.866
98,AND,2017,0.863
99,AND,2018,0.867
100,AND,2019,0.868
101,ARE,1990,0.723
102,ARE,1991,0.735
103,ARE,1992,0.738
104,ARE,1993,0.745
105,ARE,1994,0.755
106,ARE,1995,0.764
107,ARE,1996,0.765
108,ARE,1997,0.766
109,ARE,1998,0.769
110,ARE,1999,0.776
111,ARE,2000,0.782
112,ARE,2001,0.787
113,ARE,2002,0.792
114,ARE,2003,0.798
115,ARE,2004,0.803
116,ARE,2005,0.809
117,ARE,2006,0.814
118,ARE,2007,0.819
119,ARE,2008,0.821
120,ARE,2009,0.819
121,ARE,2010,0.82
122,ARE,2011,0.826
123,ARE,2012,0.832
124,ARE,2013,0.838
125,ARE,2014,0.847
126,ARE,2015,0.859
127,ARE,2016,0.864
128,ARE,2017,0.881
129,ARE,2018,0.889
130,ARE,2019,0.89
131,ARG,1990,0.718
132,ARG,1991,0.725
133,ARG,1992,0.73
134,ARG,1993,0.735
135,ARG,1994,0.739
136,ARG,1995,0.741
137,ARG,1996,0.748
138,ARG,1997,0.757
139,ARG,1998,0.763
140,ARG,1999,0.774
141,ARG,2000,0.781
142,ARG,2001,0.786
143,ARG,2002,0.781
144,ARG,2003,0.786
145,ARG,2004,0.787
146,ARG,2005,0.788
147,ARG,2006,0.812
148,ARG,2007,0.817
149,ARG,2008,0.821
150,ARG,2009,0.821
151,ARG,2010,0.829
152,ARG,2011,0.835
153,ARG,2012,0.834
154,ARG,2013,0.835
155,ARG,2014,0.836
156,ARG,2015,0.84
157,ARG,2016,0.839
158,ARG,2017,0.843
159,ARG,2018,0.842
160,ARG,2019,0.845
161,ARM,1990,0.654
