,country,country_code,year,GDP_value,HDI_value,tot_pop,tot_medal,medal_tiers,HDI_ranking,Ranking
0,Afghanistan,AFG,2002,4128820723.0,0.384,22600774,0,No medals,Low,Not top ten
1,Afghanistan,AFG,2004,5285465686.0,0.409,24726689,1,1-25,Low,Not top ten
2,Afghanistan,AFG,2006,7057598407.0,0.429,26433058,0,No medals,Low,Not top ten
3,Afghanistan,AFG,2008,10190529882.0,0.447,27722281,1,1-25,Low,Not top ten
4,Afghanistan,AFG,2010,15936800636.0,0.472,29185511,0,No medals,Low,Not top ten
5,Afghanistan,AFG,2012,20536542737.0,0.489,31161378,0,No medals,Low,Not top ten
6,Afghanistan,AFG,2014,20050189882.0,0.5,33370804,0,No medals,Low,Not top ten
7,Afghanistan,AFG,2016,19469022208.0,0.502,35383028,0,No medals,Low,Not top ten
8,Albania,ALB,1992,709452584.0,0.615,3247039,0,No medals,Medium,Not top ten
9,Albania,ALB,1994,1985673798.0,0.624,3207536,0,No medals,Medium,Not top ten
10,Albania,ALB,1996,3314898292.0,0.646,3168033,0,No medals,Medium,Not top ten
11,Albania,ALB,1998,2707123772.0,0.655,3128530,0,No medals,Medium,Not top ten
12,Albania,ALB,2000,3632043908.0,0.671,3089027,0,No medals,Medium,Not top ten
13,Albania,ALB,2002,4435078648.0,0.684,3051010,0,No medals,Medium,Not top ten
14,Albania,ALB,2004,7314865176.0,0.696,3026939,0,No medals,Medium,Not top ten
15,Albania,ALB,2006,8992642349.0,0.713,2992547,0,No medals,High,Not top ten
16,Albania,ALB,2008,12881352688.0,0.728,2947314,0,No medals,High,Not top ten
17,Albania,ALB,2010,11926953259.0,0.745,2913021,0,No medals,High,Not top ten
18,Albania,ALB,2012,12319784787.0,0.775,2900401,0,No medals,High,Not top ten
19,Albania,ALB,2014,13228244357.0,0.787,2889104,0,No medals,High,Not top ten
20,Albania,ALB,2016,11863865978.0,0.788,2876101,0,No medals,High,Not top ten
21,Algeria,DZA,1992,48003298223.0,0.582,27028330,2,1-25,Medium,Not top ten
22,Algeria,DZA,1994,42542571306.0,0.59,28213777,0,No medals,Medium,Not top ten
23,Algeria,DZA,1996,46941496780.0,0.602,29266415,3,1-25,Medium,Not top ten
24,Algeria,DZA,1998,48187747529.0,0.621,30192750,0,No medals,Medium,Not top ten
25,Algeria,DZA,2000,54790245601.0,0.637,31042238,5,1-25,Medium,Not top ten
26,Algeria,DZA,2002,56760288974.0,0.657,31855110,0,No medals,Medium,Not top ten
27,Algeria,DZA,2004,85324998814.0,0.677,32692153,0,No medals,Medium,Not top ten
28,Algeria,DZA,2006,117000000000.0,0.69,33641007,0,No medals,Medium,Not top ten
29,Algeria,DZA,2008,171000000000.0,0.702,34730604,2,1-25,High,Not top ten
30,Algeria,DZA,2010,161000000000.0,0.721,35977451,0,No medals,High,Not top ten
31,Algeria,DZA,2012,209000000000.0,0.728,37383899,1,1-25,High,Not top ten
32,Algeria,DZA,2014,214000000000.0,0.736,38923688,0,No medals,High,Not top ten
33,Algeria,DZA,2016,159000000000.0,0.743,40551398,2,1-25,High,Not top ten
34,Andorra,AND,1992,1210013652.0,0.839,58882,0,No medals,Very high,Not top ten
35,Andorra,AND,1994,1017549124.0,0.839,62676,0,No medals,Very high,Not top ten
36,Andorra,AND,1996,1223945357.0,0.839,64363,0,No medals,Very high,Not top ten
37,Andorra,AND,1998,1211932398.0,0.839,64140,0,No medals,Very high,Not top ten
38,Andorra,AND,2000,1434429703.0,0.813,65390,0,No medals,Very high,Not top ten
39,Andorra,AND,2002,1733116883.0,0.82,70048,0,No medals,Very high,Not top ten
40,Andorra,AND,2004,2935659300.0,0.833,76250,0,No medals,Very high,Not top ten
41,Andorra,AND,2006,3543256806.0,0.837,80995,0,No medals,Very high,Not top ten
42,Andorra,AND,2008,4007353157.0,0.84,83860,0,No medals,Very high,Not top ten
43,Andorra,AND,2010,3355695364.0,0.837,84454,0,No medals,Very high,Not top ten
44,Andorra,AND,2012,3164615187.0,0.858,82427,0,No medals,Very high,Not top ten
45,Andorra,AND,2014,3350736367.0,0.863,79213,0,No medals,Very high,Not top ten
46,Andorra,AND,2016,2858517699.0,0.866,77295,0,No medals,Very high,Not top ten
47,Angola,AGO,1992,5684291719.0,0.489,12657361,0,No medals,Low,Not top ten
48,Angola,AGO,1994,4059352153.0,0.489,13503753,0,No medals,Low,Not top ten
49,Angola,AGO,1996,7526446606.0,0.489,14400722,0,No medals,Low,Not top ten
50,Angola,AGO,1998,6445041825.0,0.489,15359600,0,No medals,Low,Not top ten
51,Angola,AGO,2000,9129594819.0,0.4,16395477,0,No medals,Low,Not top ten
52,Angola,AGO,2002,12497346670.0,0.426,17519418,0,No medals,Low,Not top ten
53,Angola,AGO,2004,19640848729.0,0.446,18758138,0,No medals,Low,Not top ten
54,Angola,AGO,2006,41789478661.0,0.473,20149905,0,No medals,Low,Not top ten
55,Angola,AGO,2008,84178032716.0,0.501,21695636,0,No medals,Low,Not top ten
56,Angola,AGO,2010,82470913121.0,0.517,23356247,0,No medals,Low,Not top ten
57,Angola,AGO,2012,115000000000.0,0.544,25107925,0,No medals,Low,Not top ten
58,Angola,AGO,2014,127000000000.0,0.565,26941773,0,No medals,Medium,Not top ten
59,Angola,AGO,2016,95335111741.0,0.578,28842482,0,No medals,Medium,Not top ten
60,Antigua and Barbuda,ATG,1992,499281148.0,0.765,64459,0,No medals,High,Not top ten
61,Antigua and Barbuda,ATG,1994,589429593.0,0.764,67201,0,No medals,High,Not top ten
62,Antigua and Barbuda,ATG,1996,633730630.0,0.764,70176,0,No medals,High,Not top ten
63,Antigua and Barbuda,ATG,1998,727860593.0,0.764,73219,0,No medals,High,Not top ten
64,Antigua and Barbuda,ATG,2000,830158769.0,0.764,76007,0,No medals,High,Not top ten
65,Antigua and Barbuda,ATG,2002,814615324.0,0.764,78298,0,No medals,High,Not top ten
66,Antigua and Barbuda,ATG,2004,919577143.0,0.764,80347,0,No medals,High,Not top ten
67,Antigua and Barbuda,ATG,2006,1157005441.0,0.771,82715,0,No medals,High,Not top ten
68,Antigua and Barbuda,ATG,2008,1368431037.0,0.774,85394,0,No medals,High,Not top ten
69,Antigua and Barbuda,ATG,2010,1152469074.0,0.763,88030,0,No medals,High,Not top ten
70,Antigua and Barbuda,ATG,2012,1211411704.0,0.759,90407,0,No medals,High,Not top ten
71,Antigua and Barbuda,ATG,2014,1280133333.0,0.76,92562,0,No medals,High,Not top ten
72,Antigua and Barbuda,ATG,2016,1460144704.0,0.765,94520,0,No medals,High,Not top ten
73,Argentina,ARG,1992,229000000000.0,0.73,33529320,2,1-25,High,Not top ten
74,Argentina,ARG,1994,257000000000.0,0.739,34402669,0,No medals,High,Not top ten
75,Argentina,ARG,1996,272000000000.0,0.748,35246376,2,1-25,High,Not top ten
76,Argentina,ARG,1998,299000000000.0,0.763,36063451,0,No medals,High,Not top ten
77,Argentina,ARG,2000,284000000000.0,0.781,36870796,2,1-25,High,Not top ten
78,Argentina,ARG,2002,97724004252.0,0.781,37681743,0,No medals,High,Not top ten
79,Argentina,ARG,2004,165000000000.0,0.787,38491970,49,26-50,High,Not top ten
80,Argentina,ARG,2006,233000000000.0,0.812,39289876,0,No medals,Very high,Not top ten
81,Argentina,ARG,2008,362000000000.0,0.821,40080159,51,51-75,Very high,Not top ten
82,Argentina,ARG,2010,424000000000.0,0.829,40788453,0,No medals,Very high,Not top ten
83,Argentina,ARG,2012,546000000000.0,0.834,41733271,19,1-25,Very high,Not top ten
84,Argentina,ARG,2014,526000000000.0,0.836,42669500,0,No medals,Very high,Not top ten
85,Argentina,ARG,2016,545000000000.0,0.839,43590368,22,1-25,Very high,Not top ten
86,Armenia,ARM,1992,1272577456.0,0.618,3442820,0,No medals,Medium,Not top ten
87,Armenia,ARM,1994,1315158670.0,0.621,3283664,0,No medals,Medium,Not top ten
88,Armenia,ARM,1996,1596968913.0,0.634,3168213,2,1-25,Medium,Not top ten
89,Armenia,ARM,1998,1893726437.0,0.657,3108691,0,No medals,Medium,Not top ten
90,Armenia,ARM,2000,1911563665.0,0.669,3069597,1,1-25,Medium,Not top ten
91,Armenia,ARM,2002,2376335048.0,0.682,3033976,0,No medals,Medium,Not top ten
92,Armenia,ARM,2004,3576615240.0,0.7,3000715,0,No medals,Medium,Not top ten
93,Armenia,ARM,2006,6384451606.0,0.726,2958301,0,No medals,High,Not top ten
94,Armenia,ARM,2008,11662040714.0,0.745,2907615,6,1-25,High,Not top ten
95,Armenia,ARM,2010,9260284938.0,0.747,2877314,0,No medals,High,Not top ten
96,Armenia,ARM,2012,10619320049.0,0.756,2884239,3,1-25,High,Not top ten
97,Armenia,ARM,2014,11609512940.0,0.764,2912403,0,No medals,High,Not top ten
98,Armenia,ARM,2016,10572298342.0,0.766,2936147,4,1-25,High,Not top ten
99,Australia,AUS,1992,326000000000.0,0.873,17495000,57,51-75,Very high,Top Ten
100,Australia,AUS,1994,323000000000.0,0.879,17855000,4,1-25,Very high,Top Ten
101,United States,USA,2008,14700000000000.0,0.911,304093966,317,Over 300,Very high,Top Ten
102,Australia,AUS,1998,400000000000.0,0.896,18711000,1,1-25,Very high,Top Ten
103,Australia,AUS,2002,395000000000.0,0.907,19651400,2,1-25,Very high,Top Ten
104,United States,USA,2016,18600000000000.0,0.922,323071755,264,200-300,Very high,Top Ten
105,Australia,AUS,2006,748000000000.0,0.909,20697900,2,1-25,Very high,Top Ten
106,Australia,AUS,2008,1060000000000.0,0.926,21249200,149,101-200,Very high,Top Ten
107,Australia,AUS,2010,1140000000000.0,0.93,22031750,3,1-25,Very high,Top Ten
108,Australia,AUS,1996,402000000000.0,0.89,18311000,132,101-200,Very high,Top Ten
109,Australia,AUS,2014,1460000000000.0,0.933,23475686,3,1-25,Very high,Top Ten
110,Australia,AUS,2016,1200000000000.0,0.939,24190907,82,76-100,Very high,Top Ten
111,Austria,AUT,1992,195000000000.0,0.813,7840709,35,26-50,Very high,Not top ten
112,Austria,AUT,1994,204000000000.0,0.821,7936118,12,1-25,Very high,Not top ten
113,Austria,AUT,1996,237000000000.0,0.829,7959017,3,1-25,Very high,Not top ten
114,Austria,AUT,1998,218000000000.0,0.837,7976789,2,1-25,Very high,Not top ten
115,Austria,AUT,2000,197000000000.0,0.847,8011566,4,1-25,Very high,Not top ten
116,Austria,AUT,2002,213000000000.0,0.847,8081957,2,1-25,Very high,Not top ten
117,Austria,AUT,2004,301000000000.0,0.858,8171966,8,1-25,Very high,Not top ten
118,Austria,AUT,2006,336000000000.0,0.87,8268641,3,1-25,Very high,Not top ten
