,Country Name,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,Afghanistan,AFG,"14,485,543","15,816,601","17,075,728","18,110,662","18,853,444","19,357,126","19,737,770","20,170,847","20,779,957","21,606,992","22,600,774","23,680,871","24,726,689","25,654,274","26,433,058","27,100,542","27,722,281","28,394,806","29,185,511","30,117,411","31,161,378","32,269,592","33,370,804","34,413,603","35,383,028"
3,Albania,ALB,"3,247,039","3,227,287","3,207,536","3,187,784","3,168,033","3,148,281","3,128,530","3,108,778","3,089,027","3,060,173","3,051,010","3,039,616","3,026,939","3,011,487","2,992,547","2,970,017","2,947,314","2,927,519","2,913,021","2,905,195","2,900,401","2,895,092","2,889,104","2,880,703","2,876,101"
55,Algeria,DZA,"27,028,330","27,635,517","28,213,777","28,757,788","29,266,415","29,742,980","30,192,750","30,623,406","31,042,238","31,451,513","31,855,110","32,264,159","32,692,153","33,149,720","33,641,007","34,166,976","34,730,604","35,333,882","35,977,451","36,661,438","37,383,899","38,140,135","38,923,688","39,728,020","40,551,398"
8,American Samoa,ASM,"49,900","51,025","52,099","53,158","54,209","55,227","56,180","57,049","57,816","58,496","59,077","59,495","59,684","59,557","59,109","58,367","57,490","56,675","56,084","55,755","55,669","55,717","55,791","55,806","55,739"
4,Andorra,AND,"58,882","60,974","62,676","63,860","64,363","64,318","64,140","64,368","65,390","67,344","70,048","73,180","76,250","78,871","80,995","82,682","83,860","84,461","84,454","83,748","82,427","80,770","79,213","77,993","77,295"
2,Angola,AGO,"12,657,361","13,075,044","13,503,753","13,945,205","14,400,722","14,871,572","15,359,600","15,866,871","16,395,477","16,945,753","17,519,418","18,121,477","18,758,138","19,433,604","20,149,905","20,905,360","21,695,636","22,514,275","23,356,247","24,220,660","25,107,925","26,015,786","26,941,773","27,884,380","28,842,482"
9,Antigua and Barbuda,ATG,"64,459","65,777","67,201","68,672","70,176","71,707","73,219","74,674","76,007","77,212","78,298","79,311","80,347","81,462","82,715","84,029","85,394","86,743","88,030","89,250","90,407","91,510","92,562","93,571","94,520"
6,Argentina,ARG,"33,529,320","33,970,103","34,402,669","34,828,168","35,246,376","35,657,438","36,063,451","36,467,218","36,870,796","37,275,644","37,681,743","38,087,866","38,491,970","38,892,924","39,289,876","39,684,303","40,080,159","40,482,786","40,788,453","41,261,490","41,733,271","42,202,935","42,669,500","43,131,966","43,590,368"
7,Armenia,ARM,"3,442,820","3,363,111","3,283,664","3,217,349","3,168,213","3,133,081","3,108,691","3,089,020","3,069,597","3,050,686","3,033,976","3,017,938","3,000,715","2,981,262","2,958,301","2,932,615","2,907,615","2,888,094","2,877,314","2,876,536","2,884,239","2,897,593","2,912,403","2,925,559","2,936,147"
0,Aruba,ABW,"68,240","72,495","76,705","80,324","83,211","85,450","87,280","89,009","90,866","92,892","94,992","97,016","98,744","100,028","100,830","101,226","101,362","101,452","101,665","102,050","102,565","103,165","103,776","104,339","104,865"
